time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.06,0.00812181835804,-0.0030151898837,9.99098326453,3.35604890451,1.51194293997,0.0,0.522055934001,-0.0964914229849,-0.569051249345,7.74108306745,4.44653222082,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.12000000000000001,0.0328056184176,-0.013509923389,9.94101549763,4.98574757852,4.1943794344,0.0,0.65306981571,-0.374640672146,-0.874115944614,14.7826267867,7.4984873148,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.18,0.0755872984999,-0.0207487678018,9.86463717786,6.00820262607,1.72029058022,0.0,0.374980574032,0.143383353067,-1.80194969587,18.3357744447,9.71259779842,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.23999999999999996,0.077906118597,-0.0139981762964,9.72647743114,3.527159881,3.85537390047,0.0,-0.153284983942,0.30215664183,-2.7639463496,19.9248040126,11.495264763,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.3,0.0822978085712,0.0247796648306,9.56293979947,0.935617620215,1.77910475688,0.0,0.0219784582987,1.1264295508,-2.73786525046,21.7201633179,13.3401375437,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.36000000000000004,0.0611813027444,0.0894971348035,9.39048640797,0.108348714981,3.65061544554,0.0,-0.731633499822,1.07522791958,-2.97614394922,23.1130455748,15.3016896893,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.4200000000000001,0.0163987276777,0.158327748064,9.18516410335,1.53979904034,0.458853674931,0.0,-1.18141324137,1.28071249099,-3.60030171037,23.1836338336,16.8765870024,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.48000000000000015,-0.0746587944331,0.257915852888,8.94907116199,2.93252332553,1.74726137168,0.0,-1.9813389073,1.8525696076,-4.31884529721,23.1964512366,17.0556318594,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.5400000000000001,-0.213103380467,0.380478357241,8.67718295857,6.27214343737,4.37271330776,0.0,-2.27024508727,2.39618593093,-4.92848788129,22.7198701663,16.6196942237,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.6000000000000002,-0.329463220846,0.534560216082,8.35187620086,4.33326471691,1.89789841117,0.0,-2.06863507429,2.72109833249,-5.98749623876,22.1302344715,16.0423687389,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.6600000000000003,-0.479987371556,0.698239174122,7.97855392256,5.5348931807,3.11390314593,0.0,-2.81297762583,2.81335594949,-6.31193702054,22.9746059767,16.2140565474,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.7200000000000003,-0.640777760357,0.868889111114,7.57181411928,4.3521608029,4.56663912758,0.0,-2.34719122411,2.72682128571,-6.95816530982,22.3155533964,15.9745746992,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.7800000000000004,-0.74942815092,1.02878053345,7.14006990756,6.18114047451,6.14870227088,0.0,-1.40489691248,2.44117672878,-7.27502980681,22.0753686836,16.2446542118,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.8400000000000004,-0.838581745242,1.18666004039,6.70839085988,2.92165243675,1.19455596138,0.0,-1.79395081377,3.00817454312,-7.45866187951,21.629825264,16.0388712855,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.9000000000000005,-0.970536538899,1.37558519521,6.23980052691,0.0100890197295,5.94173576903,0.0,-2.61682885997,3.30434855889,-8.13192104148,21.1368461051,14.6470002096,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
0.9600000000000005,-1.12768908571,1.58404470425,5.74545922114,3.97834829728,1.28505414838,0.0,-2.84452961666,3.66655423809,-8.6737813186,20.5746371797,14.3481721773,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
1.0200000000000005,-1.30893928348,1.80746199487,5.19628957497,0.973571272422,2.37527007374,0.0,-2.91691165055,3.7768330238,-9.7303354671,20.0845860715,12.8423979567,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
1.0800000000000005,-1.49453925007,2.02950958479,4.5862554866,3.91796793067,4.10900105913,0.0,-3.31487056477,3.79630376902,-10.3885017013,20.5341135478,13.7687671519,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
1.1400000000000006,-1.66591004316,2.26564091784,3.94917606142,1.98952479113,4.9585313062,0.0,-2.34512272426,3.94244297585,-10.8876666848,21.1367338237,13.8202107235,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
1.2000000000000006,-1.77640974291,2.51113653644,3.26646074726,3.99002965013,6.02087188591,0.0,-1.4772714688,4.1096396185,-12.0575578827,20.8433341855,13.9852771202,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
1.2600000000000007,-1.86180473908,2.73274474918,2.50536732732,5.24116048133,0.576970674294,0.0,-1.50357371035,3.19084114323,-13.1458287095,20.8493689466,13.9884495566,0.0,421.1176221460617,422.9838337133309,422.53546346093975,421.8010980544378,1,3.0
